Term	Dept	Crse	Sect	Title	FacultyName	StartDate	EndDate	ReportLink	FlagNoReview	ClassSize	OverallMean	OverallSD	OverallResponseRate	QualityMean	QualitySD	QualityMedian	QualityResponseRate	InstructorMean	InstructorSD	InstructorMedian	InstructorResponseRate	IntellectualChallengeMean	IntellectualChallengeSD	IntellectualChallengeMedian	IntellectualChallengeRate	TAMean	TASD	TAMedian	TARate	FeedbackMean	FeedbackSD	FeedbackMedian	FeedbackRate	RelativeWorkMean	RelativeWorkSD	RelativeWorkMedian	RelativeWorkRate
AE Fall 2023	AS Writing Seminars	AS.220.200	04	The Craft of Fiction	"Choi, Susan"	08/28/2023	12/08/2023	Link	0	10	4.48	0.28	1	5	0	5	1	5	0	5	1	4.8	0.42	5	1	0	0	0	1	4.9	0.32	5	1	2.7	0.67	3	1
AE Fall 2023	AS Writing Seminars	AS.220.201	01	The Craft of Poetry	"Fee, Gabriella"	08/28/2023	12/08/2023	Link	0	14	4.48	0.24	0.928571429	4.92	0.28	5	0.928571429	5	0	5	0.928571429	4.92	0.28	5	0.928571429	0	0	0	0.928571429	5	0	5	0.928571429	2.54	0.66	3	0.928571429
AE Fall 2023	AS Writing Seminars	AS.220.201	02	The Craft of Poetry	"Williamson, Greg W"	08/28/2023	12/08/2023	Link	0	11	4.11	0.69	1	4.73	0.47	5	1	4.82	0.4	5	1	4.45	0.82	5	1	0	0	0	1	4.3	0.95	4.5	1	2.27	0.79	2	1
AE Fall 2023	AS Writing Seminars	AS.220.201	03	The Craft of Poetry	"Yezzi, David D"	08/28/2023	12/08/2023	Link	1																												
AE Fall 2023	AS Writing Seminars	AS.220.220	01	Reading Korean Literature in Translation: A Survey	"Kim, Kyeong-soo"	08/28/2023	12/08/2023	Link	0	7	4.23	0.7	1	4.14	0.69	4	1	3.86	0.9	4	1	4.86	0.38	5	1	0	0	0	1	4.57	0.79	5	1	3.71	0.76	4	1
AE Fall 2023	AS Writing Seminars	AS.220.231	01	Art of the Personal Essay	"Moulton, Katherine J"	08/28/2023	12/08/2023	Link	0	11	4.26	0.72	0.909090909	4.4	0.7	4.5	0.909090909	4.5	0.71	5	0.909090909	4.4	0.84	5	0.909090909	0	0	0	0.909090909	4.6	0.52	5	0.909090909	3.4	0.84	3	0.909090909
AE Fall 2023	AS Writing Seminars	AS.220.301	01	Readings in Fiction:  Writing the Fantastical	"Robinson, Shannon L"	08/28/2023	12/08/2023	Link	0	15	4.48	0.39	1	4.93	0.26	5	1	4.93	0.26	5	1	4.6	0.63	5	1	0	0	0	1	4.87	0.35	5	1	3.07	0.46	3	1
AE Fall 2023	AS Writing Seminars	AS.220.302	01	Intermediate Fiction:  Adventures in Form	"Keleher, Kate L"	08/28/2023	12/08/2023	Link	0	7	4.67	0	0.857142857	5	0	5	0.857142857	5	0	5	0.857142857	5	0	5	0.857142857	5	0	5	0.857142857	5	0	5	0.857142857	3	0	3	0.857142857
AE Fall 2023	AS Writing Seminars	AS.220.303	01	"Intermediate Fiction: I, You, They, She, He, We--Exploring Points of View in the Short Story"	"Tenorio, Lysley A"	08/28/2023	12/08/2023	Link	1																												
AE Fall 2023	AS Writing Seminars	AS.220.304	01	Intermediate Fiction:  Characterization	"Evans, Danielle V"	08/28/2023	12/08/2023	Link	0	14	4.5	0.55	1	4.5	0.76	5	1	4.62	0.51	5	0.928571429	4.36	1.15	5	1	5	0	5	1	5	0	5	1	3.5	0.85	3	1
AE Fall 2023	AS Writing Seminars	AS.220.320	01	Readings in Poetry:  The Dyer's Hand:  Shakespeare and Modern Poetry	"Yezzi, David D"	08/28/2023	12/08/2023	Link	0	5	4.25	0.66	0.8	4.75	0.5	5	0.8	4.5	1	5	0.8	4.75	0.5	5	0.8	0	0	0	0.8	4.25	0.5	4	0.8	3	0.82	3	0.8
AE Fall 2023	AS Writing Seminars	AS.220.348	01	Creative Nonfiction Workshop: The Personal and the Public	"Snider, Bruce H"	08/28/2023	12/08/2023	Link	0	11	4.51	0.21	1	5	0	5	1	5	0	5	1	4.73	0.47	5	1	0	0	0	1	5	0	5	1	2.82	0.6	3	1
AE Fall 2023	AS Writing Seminars	AS.220.377	01	Intermediate Poetry: Poetic Forms	"Williamson, Greg W"	08/28/2023	12/08/2023	Link	0	15	4.43	0.6	0.933333333	4.71	0.61	5	0.933333333	4.71	0.61	5	0.933333333	4.57	0.76	5	0.933333333	5	0	5	0.933333333	4.93	0.27	5	0.933333333	2.64	0.74	3	0.933333333
AE Fall 2023	AS Writing Seminars	AS.220.400	01	Advanced Poetry Workshop	"Russell, Lauren"	08/28/2023	12/08/2023	Link	0	6	4.29	0.52	1	4.5	0.55	4.5	1	4.5	0.55	4.5	1	4.67	0.52	5	1	0	0	0	1	4.6	0.55	5	1	3.2	0.45	3	0.833333333
AE Fall 2023	AS Writing Seminars	AS.220.401	01	Advanced Fiction Workshop	"Noel, Katharine"	08/28/2023	12/08/2023	Link	0	12	4.68	0.22	0.916666667	5	0	5	0.916666667	5	0	5	0.833333333	4.9	0.32	5	0.833333333	5	0	5	0.916666667	4.91	0.3	5	0.916666667	3.27	0.47	3	0.916666667
AE Fall 2023	AS Writing Seminars	AS.220.401	02	Advanced Fiction Workshop	"Tenorio, Lysley A"	08/28/2023	12/08/2023	Link	0	8	4.57	0.51	0.875	4.83	0.41	5	0.75	4.83	0.41	5	0.75	4.83	0.41	5	0.75	0	0	0	0.75	4.67	0.82	5	0.75	3.67	0.52	4	0.75
AE Fall 2023	AS Writing Seminars	AS.220.415	01	Community-Based Learning:  Teaching Creative Writing in Baltimore Schools	"Noel, Katharine"	08/28/2023	12/08/2023	Link	0	13	4.32	0.52	1	4.62	0.51	5	1	4.85	0.38	5	1	4.31	0.95	5	1	5	0	5	0.923076923	4.46	0.66	5	1	2.69	0.63	3	1
AE Fall 2023	AS Writing Seminars	AS.220.422	01	"Readings in Fiction: Race, Passing, and Performance"	"Evans, Danielle V"	08/28/2023	12/08/2023	Link	0	7	4.47	0.59	1	4.43	0.79	5	1	4.83	0.41	5	0.857142857	4.71	0.76	5	1	5	0	5	1	4.57	0.53	5	1	3.29	0.49	3	1
AE Fall 2023	AS Writing Seminars	AS.220.424	01	"Science and Storytelling:  The Narrative of Nature, the Nature of Narrative"	"Panek, Richard"	08/28/2023	12/08/2023	Link	0	11	4.02	0.74	1	4.27	0.79	4	1	4.36	0.81	5	1	4.27	0.65	4	1	4	1	4	0.909090909	4.36	0.81	5	1	2.82	0.4	3	1
AE Fall 2023	EN Biomedical Engineering	EN.580.480	01	Precision Care Medicine I	"Greenstein, Joseph L"	08/28/2023	12/08/2023	Link	1																												
AE Fall 2023	EN Center for Leadership Education	EN.660.329	01	Social Entrepreneurship Theory and Practice. Community Based Learning	"Smedick, William D"	08/28/2023	12/08/2023	Link	0	26	4.18	0.7	0.923076923	4.5	0.66	5	0.923076923	4.7	0.56	5	0.884615385	4.18	0.91	4	0.846153846	4.59	0.67	5	0.884615385	4.32	0.89	4.5	0.846153846	2.82	0.5	3	0.846153846
AE Fall 2023	EN Center for Leadership Education	EN.660.332	01	Leadership Theory	"Smedick, William D"	08/28/2023	12/08/2023	Link	0	29	4.44	0.53	0.965517241	4.82	0.48	5	0.965517241	4.82	0.48	5	0.965517241	4.67	0.55	5	0.931034483	4.81	0.4	5	0.965517241	4.57	0.74	5	0.965517241	2.93	0.54	3	0.965517241
AE Fall 2023	EN Center for Leadership Education	EN.660.332	02	Leadership Theory	"Coghlan, Mary Clare"	08/28/2023	12/08/2023	Link	0	24	4.19	0.84	0.958333333	4.61	0.72	5	0.958333333	4.52	0.85	5	0.958333333	4.13	0.92	4	0.958333333	4.43	0.68	5	0.916666667	4.14	1.13	4	0.916666667	3.32	0.78	3	0.916666667
AE Fall 2023	EN Center for Leadership Education	EN.660.332	03	Leadership Theory	"Coghlan, Mary Clare"	08/28/2023	12/08/2023	Link	0	19	4.42	0.6	1	4.79	0.42	5	1	4.88	0.33	5	0.894736842	4.25	0.77	4	0.842105263	4.46	0.66	5	0.842105263	4.63	0.5	5	0.842105263	3.5	0.89	3.5	0.842105263
AE Fall 2023	EN Center for Leadership Education	EN.660.333	01	Leading Change	"Russell, Mia B"	08/28/2023	12/08/2023	Link	0	18	3.73	0.92	0.944444444	4.41	0.8	5	0.944444444	4.53	0.8	5	0.944444444	4.06	0.66	4	0.944444444	2.63	1.59	2.5	0.944444444	4.12	0.99	4	0.944444444	2.65	0.7	3	0.944444444
AE Fall 2023	EN Center for Leadership Education	EN.660.420	01	Strategic Case Analysis	"Kendrick, Leslie"	08/28/2023	12/08/2023	Link	0	11	4.24	0.69	1	4.09	0.94	4	1	4.45	0.69	5	1	4.27	0.65	4	1	4.36	0.67	4	1	4.55	0.52	5	1	3.73	0.65	4	1
AE Fall 2023	EN Center for Leadership Education	EN.661.110	01	Professional Writing and Communication	"Hilliard, Amanda D"	08/28/2023	12/08/2023	Link	0	20	4.05	0.73	0.95	4.37	0.6	4	0.95	4.56	0.62	5	0.9	3.95	0.91	4	0.95	0	0	0	0.95	4.47	0.77	5	0.95	2.89	0.74	3	0.95
AE Fall 2023	EN Center for Leadership Education	EN.661.110	02	Professional Writing and Communication	"Smith, Sarah Harrison"	08/28/2023	12/08/2023	Link	1																												
AE Fall 2023	EN Center for Leadership Education	EN.661.110	03	Professional Writing and Communication	"Choy, Marina"	08/28/2023	12/08/2023	Link	0	19	4.3	0.62	0.947368421	4.71	0.59	5	0.894736842	4.76	0.56	5	0.894736842	4.24	0.9	4	0.894736842	4.81	0.54	5	0.894736842	4.65	0.61	5	0.894736842	2.65	0.49	3	0.894736842
AE Fall 2023	EN Center for Leadership Education	EN.661.110	04	Professional Writing and Communication	"Forte, Joseph Francis"	08/28/2023	12/08/2023	Link	0	18	4.17	0.66	0.944444444	4.29	0.69	4	0.944444444	4.47	0.74	5	0.833333333	4	0.68	4	0.777777778	0	0	0	0.833333333	4.8	0.41	5	0.833333333	3.27	0.8	3	0.833333333
AE Fall 2023	EN Center for Leadership Education	EN.661.110	05	Professional Writing and Communication	"Kendrick, Leslie"	08/28/2023	12/08/2023	Link	0	18	4.19	0.69	1	4.28	0.67	4	1	4.56	0.62	5	1	4.06	0.87	4	1	4.43	0.65	4.5	1	4.61	0.61	5	1	3.22	0.73	3	1
AE Fall 2023	EN Center for Leadership Education	EN.661.110	06	Professional Writing and Communication	"Foxwell, Leonard N"	08/28/2023	12/08/2023	Link	0	18	4.34	0.52	0.944444444	4.76	0.56	5	0.944444444	4.88	0.5	5	0.888888889	4.31	0.6	4	0.888888889	4.87	0.35	5	0.888888889	4.69	0.48	5	0.888888889	2.56	0.63	3	0.888888889
AE Fall 2023	EN Center for Leadership Education	EN.661.250	01	Oral Presentations	"Smith, Sarah Harrison"	08/28/2023	12/08/2023	Link	0	8	4.44	0.66	1	4.75	0.46	5	1	4.63	0.74	5	1	4.5	0.76	5	1	4.63	0.74	5	1	4.88	0.35	5	1	3.25	0.89	3	1
AE Fall 2023	EN Center for Leadership Education	EN.661.250	02	Oral Presentations	"Hilliard, Amanda D"	08/28/2023	12/08/2023	Link	0	12	4.32	0.5	1	4.55	0.52	5	0.916666667	4.45	0.52	4	0.916666667	4.09	0.7	4	0.916666667	4.64	0.5	5	0.916666667	4.91	0.3	5	0.916666667	3.27	0.47	3	0.916666667
AE Fall 2023	EN Center for Leadership Education	EN.661.250	03	Oral Presentations	"Forte, Joseph Francis"	08/28/2023	12/08/2023	Link	0	9	3.79	0.83	1	4.25	0.71	4	1	4.25	0.71	4	1	3.5	0.93	3.5	1	3.88	0.83	4	1	4.25	1.04	4.5	1	2.63	0.74	3	1
AE Fall 2023	EN Center for Leadership Education	EN.661.250	04	Oral Presentations	"Reiser, Julie"	08/28/2023	12/08/2023	Link	0	13	4.34	0.63	1	4.83	0.39	5	0.923076923	4.85	0.38	5	1	4.33	0.89	5	0.923076923	4.08	1.12	4	1	4.85	0.38	5	1	3.08	0.64	3	1
AE Fall 2023	EN Center for Leadership Education	EN.661.315	01	Culture of the Engineering Profession	"Rice, Eric"	08/28/2023	12/08/2023	Link	0	26	3.33	1.16	1	3.27	1	3	1	3.5	0.99	4	1	3.23	1.27	3.5	1	3	1.63	3	1	3.72	1.21	4	0.961538462	3.27	0.87	3	1
	EN Center for Leadership Education	EN.661.315	01	Culture of the Engineering Profession	"Hearty, Ryan"	08/28/2023	12/08/2023	Link	0	26	3.3	1.2	1	3.27	1	3	1	3.31	1.23	4	1	3.23	1.27	3.5	1	3	1.63	3	1	3.72	1.21	4	0.961538462	3.27	0.87	3	1
AE Fall 2023	EN Center for Leadership Education	EN.661.315	02	Culture of the Engineering Profession	"Forte, Joseph Francis"	08/28/2023	12/08/2023	Link	0	22	4.27	0.67	0.909090909	4.47	0.61	5	0.863636364	4.68	0.58	5	0.863636364	4.16	0.6	4	0.863636364	4.5	0.71	4.5	0.863636364	4.53	0.77	5	0.863636364	3.26	0.73	3	0.863636364
	EN Center for Leadership Education	EN.661.315	02	Culture of the Engineering Profession	"Hearty, Ryan"	08/28/2023	12/08/2023	Link	0	22	4.17	0.76	0.909090909	4.47	0.61	5	0.863636364	4.11	1.15	4	0.863636364	4.16	0.6	4	0.863636364	4.5	0.71	4.5	0.863636364	4.53	0.77	5	0.863636364	3.26	0.73	3	0.863636364
AE Fall 2023	EN Center for Leadership Education	EN.663.622	01	Professional Writing and Communication for Graduate Students	"Link-Farajali, Denise"	08/28/2023	12/08/2023	Link	0	11	3.83	0.9	1	4.45	0.82	5	1	4.45	0.82	5	1	3.09	1.04	3	1	3.8	1.1	3	1	4.55	0.82	5	1	2.64	0.81	3	1
AE Fall 2023	EN Chemical & Biomolecular Engineering	EN.540.311	01	Projects in ChemE Unit Operations with Experiments	"Zerin, Nagma"	08/28/2023	12/08/2023	Link	1																												
AE Fall 2023	EN Chemical & Biomolecular Engineering	EN.540.311	02	Projects in ChemE Unit Operations with Experiments	"Cui, Honggang"	08/28/2023	12/08/2023	Link	1																												
AE Fall 2023	EN Chemical & Biomolecular Engineering	EN.540.311	03	Projects in ChemE Unit Operations with Experiments	"Jeong, Sangmoo"	08/28/2023	12/08/2023	Link	1																												
AE Fall 2023	EN Chemical & Biomolecular Engineering	EN.540.311	05	Projects in ChemE Unit Operations with Experiments	"Ostermeier, Marc"	08/28/2023	12/08/2023	Link	1																												
AE Fall 2023	EN Chemical & Biomolecular Engineering	EN.540.313	01	Projects in ChemBE Unit Operations with Experiments	"Zerin, Nagma"	08/28/2023	12/08/2023	Link	0	21	4.28	0.67	1	4.25	0.72	4	0.952380952	4.9	0.31	5	0.952380952	4.26	0.65	4	0.952380952	3.83	1.15	4	0.952380952	4.55	0.6	5	0.952380952	4.25	0.79	4	0.952380952
	EN Chemical & Biomolecular Engineering	EN.540.313	01	Projects in ChemBE Unit Operations with Experiments	"Jeong, Sangmoo"	08/28/2023	12/08/2023	Link	0	21	4.17	0.76	1	4.25	0.72	4	0.952380952	4.35	0.79	4	0.952380952	4.26	0.65	4	0.952380952	3.83	1.15	4	0.952380952	4.55	0.6	5	0.952380952	4.25	0.79	4	0.952380952
	EN Chemical & Biomolecular Engineering	EN.540.313	01	Projects in ChemBE Unit Operations with Experiments	"Husmann, Eric"	08/28/2023	12/08/2023	Link	0	21	4.15	0.78	1	4.25	0.72	4	0.952380952	4.08	1	4	0.952380952	4.26	0.65	4	0.952380952	3.83	1.15	4	0.952380952	4.55	0.6	5	0.952380952	4.25	0.79	4	0.952380952
AE Fall 2023	EN Chemical & Biomolecular Engineering	EN.540.313	02	Projects in ChemBE Unit Operations with Experiments	"Cui, Honggang"	08/28/2023	12/08/2023	Link	1																												
	EN Chemical & Biomolecular Engineering	EN.540.313	03	Projects in ChemBE Unit Operations with Experiments	"Zerin, Nagma"	08/28/2023	12/08/2023	Link	0	14	3.9	1.05	0.857142857	3.42	1.31	3.5	0.857142857	3.83	1.27	4	0.857142857	3.92	1	4	0.857142857	3.56	1.01	3	0.857142857	3.92	1.24	4	0.857142857	4.75	0.45	5	0.857142857
	EN Chemical & Biomolecular Engineering	EN.540.313	03	Projects in ChemBE Unit Operations with Experiments	"Ostermeier, Marc"	08/28/2023	12/08/2023	Link	0	14	3.9	1.01	0.857142857	3.42	1.31	3.5	0.857142857	3.86	1.07	4	0.857142857	3.92	1	4	0.857142857	3.56	1.01	3	0.857142857	3.92	1.24	4	0.857142857	4.75	0.45	5	0.857142857
AE Fall 2023	EN Chemical & Biomolecular Engineering	EN.540.313	03	Projects in ChemBE Unit Operations with Experiments	"Husmann, Eric"	08/28/2023	12/08/2023	Link	0	14	3.86	1	0.857142857	3.42	1.31	3.5	0.857142857	3.58	1	3	0.857142857	3.92	1	4	0.857142857	3.56	1.01	3	0.857142857	3.92	1.24	4	0.857142857	4.75	0.45	5	0.857142857
AE Fall 2023	EN Chemical & Biomolecular Engineering	EN.540.313	05	Projects in ChemBE Unit Operations with Experiments	"Ostermeier, Marc"	08/28/2023	12/08/2023	Link	0	16	4.26	0.77	0.9375	3.93	0.7	4	0.9375	4.33	0.82	4	0.9375	4.47	0.52	4	0.9375	4.08	1.24	4.5	0.9375	4.6	0.51	5	0.9375	4.13	0.83	4	0.9375
	EN Chemical & Biomolecular Engineering	EN.540.313	05	Projects in ChemBE Unit Operations with Experiments	"Cui, Honggang"	08/28/2023	12/08/2023	Link	0	16	4.26	0.78	0.9375	3.93	0.7	4	0.9375	4.33	0.9	5	0.9375	4.47	0.52	4	0.9375	4.08	1.24	4.5	0.9375	4.6	0.51	5	0.9375	4.1	0.83	4	0.9375
AE Fall 2023	EN Civil and Systems Engineering	EN.560.661	01	Additive Manufacturing and Design	"Mueller, Jochen"	08/28/2023	12/08/2023	Link	0	24	4.4	0.53	1	4.71	0.69	5	1	4.75	0.53	5	1	4.54	0.78	5	1	5	0	5	0.916666667	4.71	0.55	5	1	2.67	0.64	3	1
AE Fall 2023	EN Environmental Health and Engineering	EN.570.428	01	Problems in Applied Economics Research	"Hanke, Steve H"	08/28/2023	12/08/2023	Link	0	16	4.38	0.79	0.875	4.46	0.78	5	0.8125	4.54	0.78	5	0.8125	4.46	0.78	5	0.8125	4.33	1.15	5	0.8125	4.62	0.51	5	0.8125	3.86	0.77	4	0.875
AE Fall 2023	EN Environmental Health and Engineering	EN.570.470	01	Applied Econ & Finance	"Hanke, Steve H"	08/28/2023	12/08/2023	Link	0	11	4.59	0.57	1	4.82	0.6	5	1	4.82	0.6	5	1	4.73	0.65	5	1	0	0	0	1	4.9	0.32	5	1	3.7	0.67	4	1
AE Fall 2023	EN Materials Science & Engineering	EN.510.428	01	Material Science Laboratory I	"Wilson, Orla"	08/28/2023	12/08/2023	Link	0	8	4.14	0.82	1	4.43	0.53	4	1	4	0.93	4	1	4.43	0.79	5	1	4.29	0.76	4	1	4	1.15	4	1	3.71	0.76	4	1
AE Fall 2023	EN Materials Science & Engineering	EN.510.428	02	Material Science Laboratory I	"Wilson, Orla"	08/28/2023	12/08/2023	Link	0	8	4.56	0.49	1	4.88	0.35	5	1	4.75	0.46	5	1	4.63	0.52	5	1	4.88	0.35	5	1	4.88	0.35	5	1	3.38	0.92	3	1
AE Fall 2023	EN Materials Science & Engineering	EN.510.433	01	Senior Design Research	"Wilson, Orla"	08/28/2023	12/08/2023	Link	1																												
AE Fall 2023	EN Materials Science & Engineering	EN.510.438	01	Biomaterials Senior Design I	"Wilson, Orla"	08/28/2023	12/08/2023	Link	0	7	4.35	0.56	0.857142857	4.83	0.41	5	0.857142857	4.8	0.45	5	0.714285714	4.8	0.45	5	0.714285714	4.67	0.58	5	0.714285714	4.8	0.45	5	0.714285714	3.2	0.84	3	0.714285714
AE Fall 2023	EN Materials Science & Engineering	EN.510.440	01	Nanomaterials Senior Design I	"Wilson, Orla"	08/28/2023	12/08/2023	Link	1																												
AE Fall 2023	EN Materials Science & Engineering	EN.510.445	01	MSE Design Team II	"Wilson, Orla"	08/28/2023	12/08/2023	Link	1																												
AE Fall 2023	EN Materials Science & Engineering	EN.510.447	01	MSE Design Team Leader	"Wilson, Orla"	08/28/2023	12/08/2023	Link	1																												
